CO,79.5,300,200x300
CO,77.5,275,500x300
CO,75,30,125x75
CO,70,100,150x350
CO,70,136,320
CO,69.5,278,300x500
CO,68,298,200
CO,68,346,230-250
CO,66,252,400X200
CO,63.5,273,220
CO,63,130,400x500
CO,63,265,500
CO,54.5,295,650x350
CO,53.5,155,200
CO,51,321,250x200
CO,49.5,201.5,220
CO,49.5,205,250
CO,49,5,300
CO,49,29,100x150
CO,49,247,300
CO,48,0,250x150
CO,44,223,300x150
CO,43,219,210
CO,43,227.5,250
CO,41,272,250
CO,40.5,102,250
CO,38,37,75
CO,37,39.5,150x100
CO,36,49,450x250
CO,35,293,225
CO,33,143,250x200
CO,32,240,500X300
CO,31.5,255.5,250
CO,31.5,258,300
CO,31,306,300x200
CO,31,306,200
CO,31,312,200
CO,29,243,150
CO,29,319,230
CO,28,143,400
CO,28,205,200
CO,27,136.5,300x225
CO,26.5,94,225
CO,26,16,400x250
CO,26,98,220
CO,26,343.5,200
CO,25.5,355.5,200
CO,25,358,225
CO,24.5,244.5,220
CO,23,98,200
CO,22,224,200
CO,20,231.5,300
CO,19.5,227,250
CO,19,265.5,250
CO,18.5,37.5,300
CO,18.5,125.5,250
CO,17.5,260.5,250
CO,17,119,220x200
CO,17,299.5,250
CO,16.5,252,400
CO,16,293,200x150
CO,15,98,150-200
CO,15,114,200x150
CO,15,118,200
CO,14.5,40,400
CO,14,259,80
CO,13.5,10,300
CO,13,11,200x150
CO,13,24,400
CO,13,288,230x170
CO,12.5,229,200
CO,12,244,250
CO,12,308,230
CO,10.5,300,300x250
CO,9.5,252,400X300
CO,9,315.5,220
CO,8,12,200
CO,6.5,43.5,550
CO,6,20,300
CO,6,273.5,250
CO,5,311,140
CO,4.5,273,200
CO,4,21,400
CO,3.5,234,225
CO,2,236.5,225
CO,2,285,225
CO,2,334.5,900
CO,0.5,264.5,150
CO,-1.5,328.5,200
CO,-3,215,225
CO,-3.5,255,225
CO,-5,10,600
CO,-5,251,400
CO,-5.5,65,200
CO,-6,140,220x200
CO,-7,13,200
CO,-7.5,21,500
CO,-7.5,221,250
CO,-8,9,400
CO,-8,33,250
CO,-8,48,600
CO,-8,94,200
CO,-10,324.5,300x200
CO,-11.5,234.5,250
CO,-12,186,450
CO,-12.5,328,200
CO,-13,21,500
CO,-13,213.5,200
CO,-13,250,300x200
CO,-14,223,200
CO,-16,234,225X200
CO,-16,234,225X200
CO,-16,244,350X500
CO,-16.5,18.5,500
CO,-17,236,200
CO,-17,343,150x200
CO,-19,238.5,225
CO,-19.5,196,250x200
CO,-20,309.5,400
CO,-21,119.5,350x250
CO,-23.5,192.5,200
CO,-23.5,265,250
CO,-24,157,300
CO,-24,251,300X500
CO,-25,72.5,280
CO,-25,181,210
CO,-25,269,225
CO,-26,82,320
CO,-27,85.5,140x200
CO,-27,31,250
CO,-27,210,150x200
CO,-27.5,51,350
CO,-27.5,208.5,250
CO,-28.5,331,100x120
CO,-30,276,230
CO,-31,285.5,250
CO,-31.5,260,250
CO,-31.5,277,300x200
CO,-32,151,300x200
CO,-32,202,200
CO,-32,256,200
CO,-32,359,350
CO,-33,278.5,220
CO,-33.5,50,180
CO,-33.5,254.5,150
CO,-33.5,304,200
CO,-36.5,6,250
CO,-36.5,298.5,250x150
CO,-37,70,100
CO,-37,266.5,200x130
CO,-38.5,291,225
CO,-39,296.5,300
CO,-42,7,400
CO,-42,279.5,400
CO,-43,75,300
CO,-43,327,400
CO,-45.5,55.5,250
CO,-45.5,278,250x200
CO,-46,80,140
CO,-47,84,250
CO,-47,258,200
CO,-47,302,500
CO,-47.5,293,200
CO,-48,296,150
CO,-49,59,200
CO,-50.5,301,100
CO,-50.5,306.5,80
CO,-53,291,250
CO,-54,95,200x300
CO,-57,8,500
CO,-57,32,350
CO,-58.5,163,225x150
CO,-59,350,220
CO,-60,85,600
CO,-63.5,322,300
CO,-64,123,350
CO,-66,43,300
CO,-67,118,250
CO,-68,355,>700
CO,-69.5,66,400
CO,-70.5,82,500
CO,-83.5,140,400
