FEAT,LAT,LONG,DIMEN( km),MVC#,C1-MIDR,FMIDR,    COMMENTS,NAMES,OTHER CLASSIFICATIONS
AR,76.5,200,200x130, 76.5/200AR,75N209,,Some small shields in interior,,
AR,75,220,100, 75/220AR,75N209,,,,
AR,74,215,100, 74/215AR,75N209,,Not well-defined,Schumann-Heink Patera,"CO, Ref 1"
AR,69,206,80x60, 69/206AR,75N209,,,Nzingha Patera,
AR,68.5,132,80, 68.5/132AR,75N119,,Connected to corona by fractures,,
AR,65.5,205,150x100, 65.5/205AR,60N208,65N198;1,"""Doublet"" type; Radar dark floor; small shields in interior",,
AR,65.5,207.5,100, 65.5/207.5AR,60N208,,"""Doublet"" type; concentric and well-defined radial fractures",Cassatt Patera,"CO, Ref 1"
AR,63.5,195,70,63.5/195AR,60N208,65N198;1,70 km circular and 300 km radial patterns; caldera(?) or SFC with central caldera(?),,
AR,62.5,286,150, 62.5/286AR,60N291,,,,
AR,61.5,282.5,150, 61.5/282.5AR,60N291,60N281;1,,,"CO, Ref 1"
AR,61,246,130x80, 61/246AR,60N236,,radial fractures; Radar dark interior; elongate,,
AR,58.5,86,50, 58.5/86AR,60N070,,"""Doublet"" type",,
AR,57,82,80, 57/82AR,60N070,,A few shields on periphery; associated flows; radial fractures,Malintzin Patera,
AR,56,188,150, 56/188AR,60N180,55N328;1,Area of radial/concentarted fractures; several smaller arachnoid-like features,Aspasia Patera,
AR,54.5,326.5,280, 45.5/326.5AR,60N319,,Thru-going fractures radial to central irregularly circular CD-like area; appears to be superposed on Ut Rupes structural pattern,,
AR,50.5,96.5,50, 50.5/96.5AR,45N096,,Poorly defined ring; converging fractures,,
AR,50,270.5,40, 50/270.5AR,45N265,,Caldera-like; Radar bright concentric pattern,,
AR,49.5,311,50x75, 49.5/311AR,45N307,,Elongated; distinct margins; possible associated radial flows,,
AR,48.5,270.5,80X60, 48.5/270.5AR,45N265,,Iregular; smaller AR-type feature on margin; may be part of several overlapping AR-type features,,
AR,47.5,269,80, 47.5/269AR,45N265,,Possible IV/SSD? on rim,Davies Patera,
AR,47,11.5,70,47/11.5AR,45N011,,Associated small shields,,
